orden,fecha,matcode,cantidad,grado_llenado,target,reactor,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
1032289,2021-12-01 10:11:00.173,621005,904.8,90.48,1,mediano,4.0,501.535,64.965,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,13.2,0.0,25,0,20,8,0.0,0,4.2,0.0,0.0,0.0,0.0,25.2,0.9,1.5,9.5,0.0,0.0,0.0,2.5,3.5,0,10.0,30,50,0.0
1032292,2021-12-01 11:18:01.013,628065,452.4,90.48,0,pequeño,2.0,613.188,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.2,3.8,0.0,0.0,0.0,4.2,0.25,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0,8.0,30,15,0.0
1032293,2021-12-13 15:58:00.460,628175,2726.0,90.87,0,grande,4.0,613.258,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,1.95,0.58,0.0,4.25,0.64,0.0,0.0,0.0,4.46,0,5.0,30,15,0.0
1032327,2021-12-02 10:57:00.843,629915,2262.0,75.4,1,grande,3.0,528.232,100.448,1,0.0,0,0.6,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.48,0.2,0.0,1.6,0.24,0.0,0.0,0.0,1.7,0,4.0,30,15,1.0
1032329,2021-12-02 11:45:00.617,629925,452.4,45.24,0,mediano,1.5,535.082,100.448,1,0.0,0,0.35,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.0,0.21,0.0,0.0,0.1,0,2.5,30,15,1.0
1032330,2021-12-09 11:07:00.537,628825,1691.28,56.38,0,grande,2.0,533.572,100.448,1,0.0,0,0.6,0.0,160,0,40,0.0,0.0,0.0,0.0,25,40,20,0,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.29,0.0,0.4,0.0,0.0,0.0,0,3.0,30,15,1.0
1032331,2021-12-14 10:14:00.600,627175,2726.0,90.87,0,grande,4.0,618.723,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,2.225,0.69,0.0,5.0,0.75,0.0,0.0,0.0,5.25,0,7.5,30,15,0.0
1032332,2021-12-15 09:29:00.903,625175,1357.2,45.24,1,grande,4.0,530.398,71.862,1,0.0,30,0.0,0.0,200,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,0,0.0,0.0,0.0,0.0,0.0,7.2,1.61,0.0,13.5,1.76,0.0,0.0,0.0,5.67,0,10.0,30,15,0.0
1032333,2021-12-20 12:24:00.770,628125,678.6,67.86,0,mediano,4.0,600.148,71.862,1,0.0,30,0.0,0.0,150,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,1.22,0.0,0.0,0.0,2.66,0.46,0.0,3.48,0.0,0.08,0.0,0.0,2.09,0,5.0,30,30,0.0
1032334,2021-12-21 08:51:00.997,627125,678.6,67.86,1,mediano,4.0,603.627,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,1.711,0.0,0.0,0.0,3.73,0.64,0.0,4.89,0.0,0.106,0.0,0.0,2.934,0,7.5,30,30,0.0
