material,acido_ascorbico,agua_desionizada,amoniaco_25,aq_save,arianor_cherry_red_vibracolor_ruby_red,astrophos_hc2,azul_ultramar_b_6554,chematek_code_00302_jacorol_ahp,cire_de_lanol_sinnowax_ao,colorante_2a3hp,genencare_osms_ba_betafin_bp,h.c._yellow_2,h.c._yellow_4,jarocol_mbb,lowacryl_orange_31,merquat_280_safiquat_22,monoetanolamina_99__purete,nafol_16_18_lanette_o,perfume_bamboo_lotus_flower_2048692,perfume_xanadu,propilenglicol,rodol_24dape_chematek_00326,rodol_2_mr_chematek_code_00102,rodol_6amc_chematek_00269,rodol_6cp_chematek_00235,rodol_9r,rodol_blfx_bondecolor_blfx,rodol_eg_jarocol_map,rodol_ern_colorex_1_nap,rodol_gray_hed__jarocol_bhp,rodol_p_base_ot,rodol_paoc_chematek_00216,rodol_paox_colorex_paox,rodol_pmp_jarocol_pmp,rodol_rs_jarocol_rl,rodol_xdat,sodio_sulfito_anhidro,structure_zea_starch,transcutol_cg,utmf_ceramide_iii_silicon_free
620005,0.0,762.5,0.0,0,0.0,30,0.0,0.0,120,0,0,0.0,0.0,0.0,0.0,25,0,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0,0.0
620025,0.5,663.0,0.1,1,0.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,0.0,25,40,10,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.4,0.0,0.0,0.3,0,1.0,30,15,0.0
620075,4.0,626.018,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3.6,0.0,0.0,0.0,0.0,5.28,0,5.0,30,15,0.0
620105,4.0,570.638,71.862,1,0.0,30,0.0,0.0,170,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,7.0,30,15,0.0
620115,4.0,586.334,71.862,1,0.0,30,0.0,0.0,170,0,0,1.5,0.0,0.0,0.0,25,0,20,8,0.0,0,0.44,0.0,0.0,0.0,0.0,1.9,0.544,0.0,4.508,0.6,0.0,0.0,0.0,4.312,0,10.0,30,15,0.0
620205,4.0,590.6,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0,7.5,20,15,0.0
620305,1.0,649.138,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,4.0,0.0,0.0,25,0,10,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,15,0.0
620315,4.0,650.638,75.862,0,0.0,0,0.0,0.0,140,0,0,0.0,4.0,0.0,0.0,25,0,10,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,15,0.0
620405,4.0,576.138,71.862,1,0.0,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,25,0,10,8,0.0,35,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0,5.0,30,15,0.0
620505,0.0,682.338,71.862,1,1.8,30,0.0,0.0,140,0,0,0.0,0.0,0.0,0.0,0,0,20,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0,0.0
620705,4.0,530.138,71.862,1,0.0,30,0.0,0.0,180,0,0,0.0,0.0,0.0,0.0,25,0,30,8,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,10.0,20,15,0.0
620905,0.0,681.438,71.862,1,1.0,30,0.0,0.0,160,0,0,0.0,0.0,0.0,1.7,0,0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0,0.0
620945,0.0,681.5,100.0,0,0.0,0,0.0,0.0,140,0,0,0.0,0.0,0.0,2.5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0,0.0
